Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50,Dataset
Overall,accuracy,0.8962,0.9151,0.9151,0.9151,0.8585,0.8774,iml_lifecycle
Overall,balanced_accuracy,0.8875,0.9035,0.9196,0.9057,0.8029,0.8786,iml_lifecycle
gametocyte,precision,0.9783,0.9592,0.9783,0.9583,0.9375,0.9574,iml_lifecycle
gametocyte,recall,0.9184,0.9592,0.9184,0.9388,0.9184,0.9184,iml_lifecycle
gametocyte,f1_score,0.9474,0.9592,0.9474,0.9485,0.9278,0.9375,iml_lifecycle
gametocyte,support,49.0,49.0,49.0,49.0,49.0,49.0,iml_lifecycle
ring,precision,0.8293,0.9167,0.8919,0.8947,0.8611,0.9394,iml_lifecycle
ring,recall,1.0,0.9706,0.9706,1.0,0.9118,0.9118,iml_lifecycle
ring,f1_score,0.9067,0.9429,0.9296,0.9444,0.8857,0.9254,iml_lifecycle
ring,support,34.0,34.0,34.0,34.0,34.0,34.0,iml_lifecycle
schizont,precision,1.0,0.8,0.8,1.0,0.75,0.6667,iml_lifecycle
schizont,recall,1.0,1.0,1.0,1.0,0.75,1.0,iml_lifecycle
schizont,f1_score,1.0,0.8889,0.8889,1.0,0.75,0.8,iml_lifecycle
schizont,support,4.0,4.0,4.0,4.0,4.0,4.0,iml_lifecycle
trophozoite,precision,0.8,0.8125,0.8333,0.8125,0.6667,0.65,iml_lifecycle
trophozoite,recall,0.6316,0.6842,0.7895,0.6842,0.6316,0.6842,iml_lifecycle
trophozoite,f1_score,0.7059,0.7429,0.8108,0.7429,0.6486,0.6667,iml_lifecycle
trophozoite,support,19.0,19.0,19.0,19.0,19.0,19.0,iml_lifecycle
Overall,accuracy,0.8456,0.8645,0.8525,0.8491,0.8422,0.8439,md_2019_stages
Overall,balanced_accuracy,0.837,0.8413,0.832,0.8188,0.8136,0.8246,md_2019_stages
ring,precision,0.8686,0.8571,0.8556,0.8876,0.8547,0.8449,md_2019_stages
ring,recall,0.8941,0.9176,0.9412,0.8824,0.9,0.9294,md_2019_stages
ring,f1_score,0.8812,0.8864,0.8964,0.885,0.8768,0.8852,md_2019_stages
ring,support,170.0,170.0,170.0,170.0,170.0,170.0,md_2019_stages
schizont,precision,0.9421,0.9317,0.9228,0.8938,0.9078,0.9151,md_2019_stages
schizont,recall,0.8531,0.9056,0.8776,0.9126,0.8951,0.8671,md_2019_stages
schizont,f1_score,0.8954,0.9184,0.8996,0.9031,0.9014,0.8905,md_2019_stages
schizont,support,286.0,286.0,286.0,286.0,286.0,286.0,md_2019_stages
trophozoite,precision,0.651,0.7236,0.6935,0.6885,0.6721,0.688,md_2019_stages
trophozoite,recall,0.7638,0.7008,0.6772,0.6614,0.6457,0.6772,md_2019_stages
trophozoite,f1_score,0.7029,0.712,0.6853,0.6747,0.6586,0.6825,md_2019_stages
trophozoite,support,127.0,127.0,127.0,127.0,127.0,127.0,md_2019_stages
Overall,accuracy,0.9793,0.9724,0.9828,0.9759,0.9793,0.9759,mp_idb_species
Overall,balanced_accuracy,0.8095,0.7919,0.8643,0.7929,0.8363,0.8354,mp_idb_species
P_falciparum,precision,0.9885,0.9885,0.9885,0.9885,0.9923,0.9923,mp_idb_species
P_falciparum,recall,1.0,0.9961,1.0,1.0,0.9961,0.9923,mp_idb_species
P_falciparum,f1_score,0.9942,0.9923,0.9942,0.9942,0.9942,0.9923,mp_idb_species
P_falciparum,support,259.0,259.0,259.0,259.0,259.0,259.0,mp_idb_species
P_malariae,precision,1.0,0.8571,1.0,1.0,0.875,0.7778,mp_idb_species
P_malariae,recall,0.6667,0.6667,0.6667,0.6667,0.7778,0.7778,mp_idb_species
P_malariae,f1_score,0.8,0.75,0.8,0.8,0.8235,0.7778,mp_idb_species
P_malariae,support,9.0,9.0,9.0,9.0,9.0,9.0,mp_idb_species
P_ovale,precision,1.0,0.8,0.8571,0.8,1.0,1.0,mp_idb_species
P_ovale,recall,0.5714,0.5714,0.8571,0.5714,0.5714,0.5714,mp_idb_species
P_ovale,f1_score,0.7273,0.6667,0.8571,0.6667,0.7273,0.7273,mp_idb_species
P_ovale,support,7.0,7.0,7.0,7.0,7.0,7.0,mp_idb_species
P_vivax,precision,0.8333,0.8235,0.9333,0.8235,0.8333,0.8333,mp_idb_species
P_vivax,recall,1.0,0.9333,0.9333,0.9333,1.0,1.0,mp_idb_species
P_vivax,f1_score,0.9091,0.875,0.9333,0.875,0.9091,0.9091,mp_idb_species
P_vivax,support,15.0,15.0,15.0,15.0,15.0,15.0,mp_idb_species
Overall,accuracy,0.9437,0.9472,0.9542,0.9225,0.9507,0.9613,mp_idb_stages
Overall,balanced_accuracy,0.6699,0.7031,0.7864,0.7791,0.7057,0.8304,mp_idb_stages
gametocyte,precision,1.0,0.8,0.6667,0.8333,0.6,0.8333,mp_idb_stages
gametocyte,recall,0.6,0.8,0.8,1.0,0.6,1.0,mp_idb_stages
gametocyte,f1_score,0.75,0.8,0.7273,0.9091,0.6,0.9091,mp_idb_stages
gametocyte,support,5.0,5.0,5.0,5.0,5.0,5.0,mp_idb_stages
ring,precision,0.9808,0.9771,0.9808,0.9801,0.9808,0.9808,mp_idb_stages
ring,recall,0.9846,0.9884,0.9884,0.9498,0.9846,0.9884,mp_idb_stages
ring,f1_score,0.9827,0.9827,0.9846,0.9647,0.9827,0.9846,mp_idb_stages
ring,support,259.0,259.0,259.0,259.0,259.0,259.0,mp_idb_stages
schizont,precision,0.4,0.5714,0.6,0.3333,0.8,0.625,mp_idb_stages
schizont,recall,0.6667,0.6667,1.0,0.6667,0.6667,0.8333,mp_idb_stages
schizont,f1_score,0.5,0.6154,0.75,0.4444,0.7273,0.7143,mp_idb_stages
schizont,support,6.0,6.0,6.0,6.0,6.0,6.0,mp_idb_stages
trophozoite,precision,0.5455,0.5,0.7143,0.4667,0.5714,0.7778,mp_idb_stages
trophozoite,recall,0.4286,0.3571,0.3571,0.5,0.5714,0.5,mp_idb_stages
trophozoite,f1_score,0.48,0.4167,0.4762,0.4828,0.5714,0.6087,mp_idb_stages
trophozoite,support,14.0,14.0,14.0,14.0,14.0,14.0,mp_idb_stages
