Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50,Dataset
Overall,accuracy,0.8202,0.8764,0.8202,0.8427,0.8315,0.8652,iml_lifecycle
Overall,balanced_accuracy,0.7088,0.764,0.7116,0.7333,0.7502,0.7484,iml_lifecycle
gametocyte,precision,0.975,0.9302,0.95,0.9286,0.9024,0.9302,iml_lifecycle
gametocyte,recall,0.9512,0.9756,0.9268,0.9512,0.9024,0.9756,iml_lifecycle
gametocyte,f1_score,0.963,0.9524,0.9383,0.9398,0.9024,0.9524,iml_lifecycle
gametocyte,support,41.0,41.0,41.0,41.0,41.0,41.0,iml_lifecycle
ring,precision,0.7931,0.9259,0.8571,0.8276,0.9167,0.8621,iml_lifecycle
ring,recall,0.8214,0.8929,0.8571,0.8571,0.7857,0.8929,iml_lifecycle
ring,f1_score,0.807,0.9091,0.8571,0.8421,0.8462,0.8772,iml_lifecycle
ring,support,28.0,28.0,28.0,28.0,28.0,28.0,iml_lifecycle
schizont,precision,0.4,0.5,0.3333,0.6667,0.6667,0.6667,iml_lifecycle
schizont,recall,0.5,0.5,0.5,0.5,0.5,0.5,iml_lifecycle
schizont,f1_score,0.4444,0.5,0.4,0.5714,0.5714,0.5714,iml_lifecycle
schizont,support,4.0,4.0,4.0,4.0,4.0,4.0,iml_lifecycle
trophozoite,precision,0.6,0.7333,0.6,0.6667,0.619,0.7143,iml_lifecycle
trophozoite,recall,0.5625,0.6875,0.5625,0.625,0.8125,0.625,iml_lifecycle
trophozoite,f1_score,0.5806,0.7097,0.5806,0.6452,0.7027,0.6667,iml_lifecycle
trophozoite,support,16.0,16.0,16.0,16.0,16.0,16.0,iml_lifecycle
Overall,accuracy,0.9982,0.9982,0.9982,0.9982,0.9982,0.9982,md_2019_stages
Overall,balanced_accuracy,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,md_2019_stages
ring,precision,1.0,1.0,1.0,1.0,1.0,1.0,md_2019_stages
ring,recall,1.0,1.0,1.0,1.0,1.0,1.0,md_2019_stages
ring,f1_score,1.0,1.0,1.0,1.0,1.0,1.0,md_2019_stages
ring,support,168.0,168.0,168.0,168.0,168.0,168.0,md_2019_stages
schizont,precision,1.0,1.0,1.0,1.0,1.0,1.0,md_2019_stages
schizont,recall,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,md_2019_stages
schizont,f1_score,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,md_2019_stages
schizont,support,261.0,261.0,261.0,261.0,261.0,261.0,md_2019_stages
trophozoite,precision,0.9915,0.9915,0.9915,0.9915,0.9915,0.9915,md_2019_stages
trophozoite,recall,1.0,1.0,1.0,1.0,1.0,1.0,md_2019_stages
trophozoite,f1_score,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,md_2019_stages
