Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50,Dataset
Overall,accuracy,0.8652,0.8539,0.8539,0.8764,0.7753,0.8539,iml_lifecycle
Overall,balanced_accuracy,0.7646,0.749,0.749,0.7573,0.6702,0.7557,iml_lifecycle
gametocyte,precision,0.9286,0.907,0.9286,0.9524,0.8511,0.9286,iml_lifecycle
gametocyte,recall,0.9512,0.9512,0.9512,0.9756,0.9756,0.9512,iml_lifecycle
gametocyte,f1_score,0.9398,0.9286,0.9398,0.9639,0.9091,0.9398,iml_lifecycle
gametocyte,support,41.0,41.0,41.0,41.0,41.0,41.0,iml_lifecycle
ring,precision,0.9231,0.9231,0.9231,0.8387,0.9474,0.9583,iml_lifecycle
ring,recall,0.8571,0.8571,0.8571,0.9286,0.6429,0.8214,iml_lifecycle
ring,f1_score,0.8889,0.8889,0.8889,0.8814,0.766,0.8846,iml_lifecycle
ring,support,28.0,28.0,28.0,28.0,28.0,28.0,iml_lifecycle
schizont,precision,0.6667,0.5,0.4,0.5,0.5,0.4,iml_lifecycle
schizont,recall,0.5,0.5,0.5,0.5,0.5,0.5,iml_lifecycle
schizont,f1_score,0.5714,0.5,0.4444,0.5,0.5,0.4444,iml_lifecycle
schizont,support,4.0,4.0,4.0,4.0,4.0,4.0,iml_lifecycle
trophozoite,precision,0.6667,0.6875,0.6875,0.8333,0.4737,0.6667,iml_lifecycle
trophozoite,recall,0.75,0.6875,0.6875,0.625,0.5625,0.75,iml_lifecycle
trophozoite,f1_score,0.7059,0.6875,0.6875,0.7143,0.5143,0.7059,iml_lifecycle
trophozoite,support,16.0,16.0,16.0,16.0,16.0,16.0,iml_lifecycle
Overall,accuracy,0.988,0.984,0.988,0.984,0.984,0.98,mp_idb_species
Overall,balanced_accuracy,0.8773,0.8818,0.9318,0.8273,0.8273,0.75,mp_idb_species
P_falciparum,precision,1.0,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_falciparum,recall,1.0,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_falciparum,f1_score,1.0,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_falciparum,support,227.0,227.0,227.0,227.0,227.0,227.0,mp_idb_species
P_malariae,precision,1.0,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_malariae,recall,1.0,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_malariae,f1_score,1.0,1.0,1.0,1.0,1.0,1.0,mp_idb_species
P_malariae,support,7.0,7.0,7.0,7.0,7.0,7.0,mp_idb_species
P_ovale,precision,0.75,0.5714,0.625,0.6667,0.6667,0.0,mp_idb_species
P_ovale,recall,0.6,0.8,1.0,0.4,0.4,0.0,mp_idb_species
P_ovale,f1_score,0.6667,0.6667,0.7692,0.5,0.5,0.0,mp_idb_species
P_ovale,support,5.0,5.0,5.0,5.0,5.0,5.0,mp_idb_species
P_vivax,precision,0.8333,0.8889,1.0,0.7692,0.7692,0.6875,mp_idb_species
P_vivax,recall,0.9091,0.7273,0.7273,0.9091,0.9091,1.0,mp_idb_species
P_vivax,f1_score,0.8696,0.8,0.8421,0.8333,0.8333,0.8148,mp_idb_species
P_vivax,support,11.0,11.0,11.0,11.0,11.0,11.0,mp_idb_species
Overall,accuracy,0.9365,0.9431,0.9064,0.806,0.9298,0.9331,mp_idb_stages
Overall,balanced_accuracy,0.6731,0.6921,0.6977,0.6072,0.6569,0.6579,mp_idb_stages
gametocyte,precision,1.0,1.0,1.0,1.0,1.0,1.0,mp_idb_stages
gametocyte,recall,0.6,0.4,0.4,0.4,0.4,0.4,mp_idb_stages
gametocyte,f1_score,0.75,0.5714,0.5714,0.5714,0.5714,0.5714,mp_idb_stages
gametocyte,support,5.0,5.0,5.0,5.0,5.0,5.0,mp_idb_stages
ring,precision,0.9673,0.9673,0.9807,0.9702,0.9706,0.9707,mp_idb_stages
ring,recall,0.9779,0.9779,0.9338,0.8382,0.9706,0.9743,mp_idb_stages
ring,f1_score,0.9726,0.9726,0.9567,0.8994,0.9706,0.9725,mp_idb_stages
ring,support,272.0,272.0,272.0,272.0,272.0,272.0,mp_idb_stages
schizont,precision,1.0,1.0,0.75,0.5,0.75,0.6667,mp_idb_stages
schizont,recall,0.7143,0.8571,0.8571,0.8571,0.8571,0.8571,mp_idb_stages
schizont,f1_score,0.8333,0.9231,0.8,0.6316,0.8,0.75,mp_idb_stages
schizont,support,7.0,7.0,7.0,7.0,7.0,7.0,mp_idb_stages
trophozoite,precision,0.375,0.5,0.3,0.1,0.3529,0.4,mp_idb_stages
trophozoite,recall,0.4,0.5333,0.6,0.3333,0.4,0.4,mp_idb_stages
trophozoite,f1_score,0.3871,0.5161,0.4,0.1538,0.375,0.4,mp_idb_stages
trophozoite,support,15.0,15.0,15.0,15.0,15.0,15.0,mp_idb_stages
