Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50,Dataset
Overall,accuracy,0.8427,0.8652,0.8427,0.8427,0.809,0.8876,iml_lifecycle
Overall,balanced_accuracy,0.7429,0.7512,0.7362,0.7238,0.6999,0.7958,iml_lifecycle
gametocyte,precision,0.95,0.907,0.95,0.8696,0.8478,0.9512,iml_lifecycle
gametocyte,recall,0.9268,0.9512,0.9268,0.9756,0.9512,0.9512,iml_lifecycle
gametocyte,f1_score,0.9383,0.9286,0.9383,0.9195,0.8966,0.9512,iml_lifecycle
gametocyte,support,41.0,41.0,41.0,41.0,41.0,41.0,iml_lifecycle
ring,precision,0.8571,0.8667,0.8621,0.8889,0.9565,0.96,iml_lifecycle
ring,recall,0.8571,0.9286,0.8929,0.8571,0.7857,0.8571,iml_lifecycle
ring,f1_score,0.8571,0.8966,0.8772,0.8727,0.8627,0.9057,iml_lifecycle
ring,support,28.0,28.0,28.0,28.0,28.0,28.0,iml_lifecycle
schizont,precision,0.5,0.6667,0.3333,0.5,0.6667,0.5,iml_lifecycle
schizont,recall,0.5,0.5,0.5,0.5,0.5,0.5,iml_lifecycle
schizont,f1_score,0.5,0.5714,0.4,0.5,0.5714,0.5,iml_lifecycle
schizont,support,4.0,4.0,4.0,4.0,4.0,4.0,iml_lifecycle
trophozoite,precision,0.6471,0.7692,0.7143,0.75,0.5294,0.7368,iml_lifecycle
trophozoite,recall,0.6875,0.625,0.625,0.5625,0.5625,0.875,iml_lifecycle
trophozoite,f1_score,0.6667,0.6897,0.6667,0.6429,0.5455,0.8,iml_lifecycle
trophozoite,support,16.0,16.0,16.0,16.0,16.0,16.0,iml_lifecycle
Overall,accuracy,0.8535,0.8645,0.848,0.8773,0.8297,0.8553,md_2019_stages
Overall,balanced_accuracy,0.8427,0.8403,0.8205,0.8682,0.8261,0.8299,md_2019_stages
ring,precision,0.8736,0.8876,0.8793,0.9398,0.8689,0.8883,md_2019_stages
ring,recall,0.9464,0.9405,0.9107,0.9286,0.9464,0.9464,md_2019_stages
ring,f1_score,0.9086,0.9133,0.8947,0.9341,0.906,0.9164,md_2019_stages
ring,support,168.0,168.0,168.0,168.0,168.0,168.0,md_2019_stages
schizont,precision,0.9444,0.9213,0.9102,0.9237,0.9455,0.9059,md_2019_stages
schizont,recall,0.8467,0.8966,0.8927,0.8812,0.7969,0.8851,md_2019_stages
schizont,f1_score,0.8929,0.9087,0.9014,0.902,0.8649,0.8953,md_2019_stages
schizont,support,261.0,261.0,261.0,261.0,261.0,261.0,md_2019_stages
trophozoite,precision,0.6615,0.7018,0.6638,0.7099,0.6014,0.6875,md_2019_stages
trophozoite,recall,0.735,0.6838,0.6581,0.7949,0.735,0.6581,md_2019_stages
trophozoite,f1_score,0.6964,0.6926,0.6609,0.75,0.6615,0.6725,md_2019_stages
trophozoite,support,117.0,117.0,117.0,117.0,117.0,117.0,md_2019_stages
Overall,accuracy,0.984,0.988,0.992,0.98,0.996,0.976,mp_idb_species
Overall,balanced_accuracy,0.8818,0.8916,0.9,0.8045,0.95,0.7978,mp_idb_species
P_falciparum,precision,1.0,0.9956,1.0,1.0,1.0,1.0,mp_idb_species
P_falciparum,recall,1.0,1.0,1.0,1.0,1.0,0.9912,mp_idb_species
P_falciparum,f1_score,1.0,0.9978,1.0,1.0,1.0,0.9956,mp_idb_species
P_falciparum,support,227.0,227.0,227.0,227.0,227.0,227.0,mp_idb_species
P_malariae,precision,1.0,1.0,1.0,1.0,1.0,0.875,mp_idb_species
P_malariae,recall,1.0,0.8571,1.0,1.0,1.0,1.0,mp_idb_species
P_malariae,f1_score,1.0,0.9231,1.0,1.0,1.0,0.9333,mp_idb_species
P_malariae,support,7.0,7.0,7.0,7.0,7.0,7.0,mp_idb_species
P_ovale,precision,0.5714,0.8,1.0,0.5,1.0,0.5,mp_idb_species
P_ovale,recall,0.8,0.8,0.6,0.4,0.8,0.2,mp_idb_species
P_ovale,f1_score,0.6667,0.8,0.75,0.4444,0.8889,0.2857,mp_idb_species
P_ovale,support,5.0,5.0,5.0,5.0,5.0,5.0,mp_idb_species
P_vivax,precision,0.8889,0.9091,0.8462,0.75,0.9167,0.7333,mp_idb_species
P_vivax,recall,0.7273,0.9091,1.0,0.8182,1.0,1.0,mp_idb_species
P_vivax,f1_score,0.8,0.9091,0.9167,0.7826,0.9565,0.8462,mp_idb_species
P_vivax,support,11.0,11.0,11.0,11.0,11.0,11.0,mp_idb_species
Overall,accuracy,0.9264,0.9465,0.9264,0.9431,0.9465,0.9264,mp_idb_stages
Overall,balanced_accuracy,0.6022,0.7106,0.7194,0.5643,0.5571,0.6718,mp_idb_stages
gametocyte,precision,0.6667,1.0,0.6667,0.5,0.4,1.0,mp_idb_stages
gametocyte,recall,0.4,0.6,0.8,0.2,0.4,0.4,mp_idb_stages
gametocyte,f1_score,0.5,0.75,0.7273,0.2857,0.4,0.5714,mp_idb_stages
gametocyte,support,5.0,5.0,5.0,5.0,5.0,5.0,mp_idb_stages
ring,precision,0.9742,0.9745,0.974,0.9611,0.9714,0.974,mp_idb_stages
ring,recall,0.9706,0.9853,0.9632,1.0,1.0,0.9632,mp_idb_stages
ring,f1_score,0.9724,0.9799,0.9686,0.9802,0.9855,0.9686,mp_idb_stages
ring,support,272.0,272.0,272.0,272.0,272.0,272.0,mp_idb_stages
schizont,precision,0.8,0.6667,0.8333,0.6667,0.5,0.8571,mp_idb_stages
schizont,recall,0.5714,0.8571,0.7143,0.8571,0.4286,0.8571,mp_idb_stages
schizont,f1_score,0.6667,0.75,0.7692,0.75,0.4615,0.8571,mp_idb_stages
schizont,support,7.0,7.0,7.0,7.0,7.0,7.0,mp_idb_stages
trophozoite,precision,0.35,0.5,0.3333,0.6,0.75,0.3333,mp_idb_stages
trophozoite,recall,0.4667,0.4,0.4,0.2,0.4,0.4667,mp_idb_stages
trophozoite,f1_score,0.4,0.4444,0.3636,0.3,0.5217,0.3889,mp_idb_stages
trophozoite,support,15.0,15.0,15.0,15.0,15.0,15.0,mp_idb_stages
