original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source,ground_truth_class
train/images/000119.jpg,000119_crop_000.jpg,train,0.9804977,0,4,639,637,255,256,383,384,multispecies,2
train/images/000191.jpg,000191_crop_000.jpg,train,0.99199986,0,3,639,640,255,257,383,385,multispecies,1
train/images/000109.jpg,000109_crop_000.jpg,train,0.9778115,0,0,640,638,256,255,384,383,multispecies,2
train/images/000000.jpg,000000_crop_000.jpg,train,0.9961287,0,3,639,638,255,256,383,384,multispecies,0
train/images/000168.jpg,000168_crop_000.jpg,train,0.9929646,0,3,639,639,255,257,383,385,multispecies,3
train/images/000118.jpg,000118_crop_000.jpg,train,0.9240465,0,0,640,640,256,256,384,384,multispecies,2
train/images/000047.jpg,000047_crop_000.jpg,train,0.9916477,0,3,639,638,255,256,383,384,multispecies,0
train/images/000036.jpg,000036_crop_000.jpg,train,0.98738164,0,2,639,638,255,256,383,384,multispecies,0
train/images/000025.jpg,000025_crop_000.jpg,train,0.9956489,0,2,639,638,255,256,383,384,multispecies,0
train/images/000011.jpg,000011_crop_000.jpg,train,0.9947337,0,3,639,639,255,257,383,385,multispecies,0
train/images/000128.jpg,000128_crop_000.jpg,train,0.9840158,0,0,639,638,255,255,383,383,multispecies,2
train/images/000030.jpg,000030_crop_000.jpg,train,0.9920134,0,3,639,639,255,257,383,385,multispecies,0
train/images/000018.jpg,000018_crop_000.jpg,train,0.9802475,0,2,639,639,255,256,383,384,multispecies,0
train/images/000085.jpg,000085_crop_000.jpg,train,0.98630655,0,2,639,638,255,256,383,384,multispecies,0
train/images/000035.jpg,000035_crop_000.jpg,train,0.9915656,0,3,639,640,255,257,383,385,multispecies,0
train/images/000043.jpg,000043_crop_000.jpg,train,0.94230795,0,1,639,637,255,255,383,383,multispecies,0
train/images/000137.jpg,000137_crop_000.jpg,train,0.98456395,0,4,639,637,255,256,383,384,multispecies,2
train/images/000078.jpg,000078_crop_000.jpg,train,0.9187418,0,0,639,639,255,255,383,383,multispecies,0
train/images/000012.jpg,000012_crop_000.jpg,train,0.815162,0,3,639,638,255,256,383,384,multispecies,0
train/images/000012.jpg,000012_crop_001.jpg,train,0.7054368,0,1,640,640,256,256,384,384,multispecies,0
train/images/000068.jpg,000068_crop_000.jpg,train,0.9915085,0,2,639,640,255,257,383,385,multispecies,0
train/images/000065.jpg,000065_crop_000.jpg,train,0.9549537,0,3,639,638,255,256,383,384,multispecies,0
train/images/000034.jpg,000034_crop_000.jpg,train,0.9953694,0,3,639,639,255,257,383,385,multispecies,0
train/images/000016.jpg,000016_crop_000.jpg,train,0.9948236,0,3,639,638,255,256,383,384,multispecies,0
train/images/000122.jpg,000122_crop_000.jpg,train,0.98223233,0,1,639,640,255,256,383,384,multispecies,2
train/images/000177.jpg,000177_crop_000.jpg,train,0.98422134,0,2,639,639,255,256,383,384,multispecies,1
train/images/000142.jpg,000142_crop_000.jpg,train,0.98943114,0,3,639,638,255,256,383,384,multispecies,3
train/images/000116.jpg,000116_crop_000.jpg,train,0.92178077,0,0,639,637,255,254,383,382,multispecies,2
train/images/000044.jpg,000044_crop_000.jpg,train,0.99376947,0,2,639,640,255,257,383,385,multispecies,0
train/images/000017.jpg,000017_crop_000.jpg,train,0.99337006,0,2,639,639,255,256,383,384,multispecies,0
train/images/000185.jpg,000185_crop_000.jpg,train,0.9912607,0,3,639,639,255,257,383,385,multispecies,1
train/images/000042.jpg,000042_crop_000.jpg,train,0.9915652,0,2,639,639,255,256,383,384,multispecies,0
train/images/000022.jpg,000022_crop_000.jpg,train,0.9913919,0,3,639,639,255,257,383,385,multispecies,0
train/images/000178.jpg,000178_crop_000.jpg,train,0.99024,0,2,639,639,255,256,383,384,multispecies,1
train/images/000202.jpg,000202_crop_000.jpg,train,0.9902603,0,3,639,640,255,257,383,385,multispecies,1
train/images/000149.jpg,000149_crop_000.jpg,train,0.9911577,0,2,639,638,255,256,383,384,multispecies,3
train/images/000077.jpg,000077_crop_000.jpg,train,0.90621614,0,2,639,639,255,256,383,384,multispecies,0
train/images/000164.jpg,000164_crop_000.jpg,train,0.99261683,0,2,640,638,256,256,384,384,multispecies,3
train/images/000200.jpg,000200_crop_000.jpg,train,0.9919464,0,3,638,640,255,257,383,385,multispecies,1
train/images/000117.jpg,000117_crop_000.jpg,train,0.9733496,0,1,639,638,255,255,383,383,multispecies,2
train/images/000186.jpg,000186_crop_000.jpg,train,0.9882316,0,1,639,639,255,256,383,384,multispecies,1
train/images/000174.jpg,000174_crop_000.jpg,train,0.9925452,0,2,639,639,255,256,383,384,multispecies,1
train/images/000125.jpg,000125_crop_000.jpg,train,0.9794221,0,4,639,637,255,256,383,384,multispecies,2
train/images/000190.jpg,000190_crop_000.jpg,train,0.98336524,0,2,639,639,255,256,383,384,multispecies,1
train/images/000090.jpg,000090_crop_000.jpg,train,0.9271206,0,1,639,639,255,256,383,384,multispecies,0
train/images/000008.jpg,000008_crop_000.jpg,train,0.93954027,0,3,639,639,255,257,383,385,multispecies,0
train/images/000031.jpg,000031_crop_000.jpg,train,0.98531175,0,3,639,639,255,257,383,385,multispecies,0
train/images/000095.jpg,000095_crop_000.jpg,train,0.9949008,0,3,639,638,255,256,383,384,multispecies,0
train/images/000033.jpg,000033_crop_000.jpg,train,0.99011093,0,2,639,638,255,256,383,384,multispecies,0
train/images/000171.jpg,000171_crop_000.jpg,train,0.9842037,0,1,639,640,255,256,383,384,multispecies,1
train/images/000107.jpg,000107_crop_000.jpg,train,0.97873473,0,1,640,639,256,256,384,384,multispecies,2
train/images/000139.jpg,000139_crop_000.jpg,train,0.9193685,0,0,640,638,256,255,384,383,multispecies,2
train/images/000141.jpg,000141_crop_000.jpg,train,0.99051756,0,4,639,639,255,257,383,385,multispecies,3
train/images/000158.jpg,000158_crop_000.jpg,train,0.9881611,0,4,639,639,255,257,383,385,multispecies,3
train/images/000054.jpg,000054_crop_000.jpg,train,0.98788375,0,3,639,639,255,257,383,385,multispecies,0
train/images/000072.jpg,000072_crop_000.jpg,train,0.81068325,0,3,639,639,255,257,383,385,multispecies,0
train/images/000072.jpg,000072_crop_001.jpg,train,0.7746827,0,0,639,640,255,256,383,384,multispecies,0
train/images/000083.jpg,000083_crop_000.jpg,train,0.9512412,0,4,639,638,255,257,383,385,multispecies,0
train/images/000076.jpg,000076_crop_000.jpg,train,0.9928676,0,3,639,639,255,257,383,385,multispecies,0
train/images/000126.jpg,000126_crop_000.jpg,train,0.95842916,0,0,639,636,255,254,383,382,multispecies,2
train/images/000163.jpg,000163_crop_000.jpg,train,0.9921334,0,3,639,639,255,257,383,385,multispecies,3
train/images/000099.jpg,000099_crop_000.jpg,train,0.9911556,0,3,639,639,255,257,383,385,multispecies,0
train/images/000045.jpg,000045_crop_000.jpg,train,0.9931727,0,3,639,638,255,256,383,384,multispecies,0
train/images/000123.jpg,000123_crop_000.jpg,train,0.92179424,0,1,639,639,255,256,383,384,multispecies,2
train/images/000104.jpg,000104_crop_000.jpg,train,0.9512604,0,1,639,639,255,256,383,384,multispecies,2
train/images/000010.jpg,000010_crop_000.jpg,train,0.98922414,0,2,639,638,255,256,383,384,multispecies,0
train/images/000188.jpg,000188_crop_000.jpg,train,0.9912446,0,3,639,639,255,257,383,385,multispecies,1
train/images/000019.jpg,000019_crop_000.jpg,train,0.9821424,0,1,639,638,255,255,383,383,multispecies,0
train/images/000193.jpg,000193_crop_000.jpg,train,0.98976666,0,2,639,638,255,256,383,384,multispecies,1
train/images/000156.jpg,000156_crop_000.jpg,train,0.98864716,0,3,639,639,255,257,383,385,multispecies,3
train/images/000121.jpg,000121_crop_000.jpg,train,0.9810271,0,0,639,638,255,255,383,383,multispecies,2
train/images/000140.jpg,000140_crop_000.jpg,train,0.97397023,0,0,640,638,256,255,384,383,multispecies,2
train/images/000053.jpg,000053_crop_000.jpg,train,0.99327564,0,2,639,638,255,256,383,384,multispecies,0
train/images/000183.jpg,000183_crop_000.jpg,train,0.988201,0,3,639,639,255,257,383,385,multispecies,1
train/images/000038.jpg,000038_crop_000.jpg,train,0.98754466,0,3,639,639,255,257,383,385,multispecies,0
train/images/000135.jpg,000135_crop_000.jpg,train,0.9601052,0,0,640,638,256,255,384,383,multispecies,2
train/images/000175.jpg,000175_crop_000.jpg,train,0.98624855,0,3,639,640,255,257,383,385,multispecies,1
train/images/000067.jpg,000067_crop_000.jpg,train,0.9938838,0,3,638,637,255,256,383,384,multispecies,0
train/images/000105.jpg,000105_crop_000.jpg,train,0.9633549,0,0,640,638,256,255,384,383,multispecies,2
train/images/000152.jpg,000152_crop_000.jpg,train,0.9688506,0,3,640,639,256,257,384,385,multispecies,3
train/images/000167.jpg,000167_crop_000.jpg,train,0.9903127,0,2,639,638,255,256,383,384,multispecies,3
train/images/000050.jpg,000050_crop_000.jpg,train,0.9951664,0,4,639,636,255,256,383,384,multispecies,0
train/images/000133.jpg,000133_crop_000.jpg,train,0.9800168,0,0,640,639,256,255,384,383,multispecies,2
train/images/000069.jpg,000069_crop_000.jpg,train,0.9921177,0,3,639,639,255,257,383,385,multispecies,0
train/images/000154.jpg,000154_crop_000.jpg,train,0.98400545,0,3,639,639,255,257,383,385,multispecies,3
train/images/000169.jpg,000169_crop_000.jpg,train,0.9809306,0,3,639,639,255,257,383,385,multispecies,3
train/images/000182.jpg,000182_crop_000.jpg,train,0.9858359,0,2,639,640,255,257,383,385,multispecies,1
train/images/000079.jpg,000079_crop_000.jpg,train,0.9903729,0,3,639,639,255,257,383,385,multispecies,0
train/images/000046.jpg,000046_crop_000.jpg,train,0.9927799,0,2,638,638,255,256,383,384,multispecies,0
train/images/000151.jpg,000151_crop_000.jpg,train,0.99164915,0,2,639,637,255,255,383,383,multispecies,3
train/images/000081.jpg,000081_crop_000.jpg,train,0.99284476,0,3,639,639,255,257,383,385,multispecies,0
train/images/000084.jpg,000084_crop_000.jpg,train,0.8301008,0,0,639,640,255,256,383,384,multispecies,0
train/images/000084.jpg,000084_crop_001.jpg,train,0.4890785,0,2,640,639,256,256,384,384,multispecies,0
train/images/000007.jpg,000007_crop_000.jpg,train,0.9602409,0,2,639,639,255,256,383,384,multispecies,0
train/images/000146.jpg,000146_crop_000.jpg,train,0.98290837,0,3,640,639,256,257,384,385,multispecies,3
train/images/000061.jpg,000061_crop_000.jpg,train,0.9910034,0,3,639,639,255,257,383,385,multispecies,0
train/images/000062.jpg,000062_crop_000.jpg,train,0.98759997,0,2,639,638,255,256,383,384,multispecies,0
train/images/000073.jpg,000073_crop_000.jpg,train,0.9862954,0,1,639,640,255,256,383,384,multispecies,0
train/images/000013.jpg,000013_crop_000.jpg,train,0.9909122,0,1,639,640,255,256,383,384,multispecies,0
train/images/000024.jpg,000024_crop_000.jpg,train,0.9914443,0,2,639,639,255,256,383,384,multispecies,0
train/images/000056.jpg,000056_crop_000.jpg,train,0.9949822,0,3,639,639,255,257,383,385,multispecies,0
train/images/000039.jpg,000039_crop_000.jpg,train,0.99217814,0,3,639,639,255,257,383,385,multispecies,0
train/images/000003.jpg,000003_crop_000.jpg,train,0.9954485,0,2,639,638,255,256,383,384,multispecies,0
train/images/000179.jpg,000179_crop_000.jpg,train,0.9894357,0,2,639,639,255,256,383,384,multispecies,1
train/images/000148.jpg,000148_crop_000.jpg,train,0.9918628,0,3,639,639,255,257,383,385,multispecies,3
train/images/000006.jpg,000006_crop_000.jpg,train,0.9904879,0,3,639,640,255,257,383,385,multispecies,0
train/images/000004.jpg,000004_crop_000.jpg,train,0.99237615,0,3,639,639,255,257,383,385,multispecies,0
train/images/000066.jpg,000066_crop_000.jpg,train,0.9951787,0,2,639,638,255,256,383,384,multispecies,0
train/images/000155.jpg,000155_crop_000.jpg,train,0.9941432,0,3,639,639,255,257,383,385,multispecies,3
train/images/000172.jpg,000172_crop_000.jpg,train,0.9808725,0,1,640,638,256,255,384,383,multispecies,1
train/images/000080.jpg,000080_crop_000.jpg,train,0.9909372,0,2,639,638,255,256,383,384,multispecies,0
train/images/000115.jpg,000115_crop_000.jpg,train,0.98175794,0,0,640,639,256,255,384,383,multispecies,2
train/images/000130.jpg,000130_crop_000.jpg,train,0.98325306,0,0,640,639,256,255,384,383,multispecies,2
train/images/000143.jpg,000143_crop_000.jpg,train,0.99093,0,3,639,639,255,257,383,385,multispecies,3
train/images/000009.jpg,000009_crop_000.jpg,train,0.99571544,0,3,639,638,255,256,383,384,multispecies,0
train/images/000026.jpg,000026_crop_000.jpg,train,0.9907364,0,3,639,638,255,256,383,384,multispecies,0
train/images/000114.jpg,000114_crop_000.jpg,train,0.9213142,0,0,639,634,255,253,383,381,multispecies,2
train/images/000091.jpg,000091_crop_000.jpg,train,0.8906771,0,1,639,638,255,255,383,383,multispecies,0
train/images/000162.jpg,000162_crop_000.jpg,train,0.993188,0,3,639,639,255,257,383,385,multispecies,3
train/images/000165.jpg,000165_crop_000.jpg,train,0.96960396,0,3,639,638,255,256,383,384,multispecies,3
train/images/000088.jpg,000088_crop_000.jpg,train,0.98941326,0,2,639,638,255,256,383,384,multispecies,0
train/images/000093.jpg,000093_crop_000.jpg,train,0.9881783,0,2,639,638,255,256,383,384,multispecies,0
train/images/000161.jpg,000161_crop_000.jpg,train,0.91017246,0,3,639,639,255,257,383,385,multispecies,3
train/images/000184.jpg,000184_crop_000.jpg,train,0.98556477,0,3,639,639,255,257,383,385,multispecies,1
train/images/000064.jpg,000064_crop_000.jpg,train,0.98703986,0,3,639,639,255,257,383,385,multispecies,0
train/images/000098.jpg,000098_crop_000.jpg,train,0.99544036,0,3,639,639,255,257,383,385,multispecies,0
train/images/000106.jpg,000106_crop_000.jpg,train,0.9803854,0,0,640,638,256,255,384,383,multispecies,2
train/images/000173.jpg,000173_crop_000.jpg,train,0.9824938,0,3,639,640,255,257,383,385,multispecies,1
train/images/000196.jpg,000196_crop_000.jpg,train,0.96973,0,1,640,638,256,255,384,383,multispecies,1
train/images/000124.jpg,000124_crop_000.jpg,train,0.98418695,0,0,640,638,256,255,384,383,multispecies,2
train/images/000198.jpg,000198_crop_000.jpg,train,0.98692024,0,2,639,639,255,256,383,384,multispecies,1
train/images/000027.jpg,000027_crop_000.jpg,train,0.99275655,0,3,639,639,255,257,383,385,multispecies,0
train/images/000005.jpg,000005_crop_000.jpg,train,0.9873675,0,3,639,639,255,257,383,385,multispecies,0
train/images/000028.jpg,000028_crop_000.jpg,train,0.98734844,0,3,639,638,255,256,383,384,multispecies,0
train/images/000049.jpg,000049_crop_000.jpg,train,0.99446267,0,3,639,639,255,257,383,385,multispecies,0
train/images/000040.jpg,000040_crop_000.jpg,train,0.9934156,0,2,639,639,255,256,383,384,multispecies,0
train/images/000015.jpg,000015_crop_000.jpg,train,0.9948331,0,3,639,638,255,256,383,384,multispecies,0
train/images/000103.jpg,000103_crop_000.jpg,train,0.99257153,0,3,639,638,255,256,383,384,multispecies,0
train/images/000187.jpg,000187_crop_000.jpg,train,0.98877585,0,2,639,639,255,256,383,384,multispecies,1
train/images/000199.jpg,000199_crop_000.jpg,train,0.9886509,0,3,639,639,255,257,383,385,multispecies,1
train/images/000070.jpg,000070_crop_000.jpg,train,0.9852506,0,1,638,640,255,256,383,384,multispecies,0
train/images/000055.jpg,000055_crop_000.jpg,train,0.9954093,0,3,639,639,255,257,383,385,multispecies,0
train/images/000127.jpg,000127_crop_000.jpg,train,0.9545402,0,1,639,639,255,256,383,384,multispecies,2
val/images/000096.jpg,000096_crop_000.jpg,val,0.99608,0,2,639,638,255,256,383,384,multispecies,0
val/images/000048.jpg,000048_crop_000.jpg,val,0.48680368,0,3,639,639,255,257,383,385,multispecies,0
val/images/000029.jpg,000029_crop_000.jpg,val,0.9948002,0,2,639,639,255,256,383,384,multispecies,0
